title,rating,num_reviews,num_published_lectures,last_update_date,duration_hours,num_subscribers,headline,technologies,days_since_last_update
RESTful API with Laravel: Build a Real API with Laravel,4.8206425,1216,227,2022-11-20,15.0,7962,Build a RESTful API for a market system using Laravel and dominate the most challenging features of APIs with Laravel,Laravel,894
Projects in Laravel: Learn Laravel Building 10 Projects,4.082163,1214,134,2020-06-08,23.0,5490,A complete course to master latest Laravel 5.4 web framework,Laravel,1789
Learning Visual Basic .NET - A Guide To VB.NET Programming,4.049035,1211,85,2017-01-06,7.0,6817,Want to learn how to program with VB.NET? This  beginners guide to programming in  Visual Basic.NET will show you how.,.NET,3038
Dependency Injection in C# and .NET with the Autofac Library,4.541458,1205,57,2020-01-18,55.0,10186,An in-depth course on Dependency Injection and Inversion of Control,"C#, .NET",1931
Learn C# With Windows Forms and  SQL Server,4.555942,1203,79,2021-07-16,125.0,6913,With a real database project!,"C#, SQL",1386
How to Make a Freaking iPhone App - iOS 10 and Swift 3,4.6995006,1201,158,2018-11-10,16.0,6279,iPhone App Development from scratch. Learn how to make iOS apps using Xcode 8. The Basics Include Pokemon Go & Snapchat,Swift,2365
Convolutional Neural Networks in Python: CNN Computer Vision,4.368494,1200,59,2022-11-03,75.0,127100,Python for Computer Vision & Image Recognition - Deep Learning Convolutional Neural Network (CNN) - Keras & TensorFlow 2,Python,911
The Ultimate LINQ with C# Masterclass - Basics to Advanced,4.5842776,1193,46,2020-09-24,4.0,8437,The only LINQ class you will ever need! Both Query and Method Syntaxes are covered in the course!,C#,1681
Three.js and TypeScript,4.5130854,1192,78,2022-11-14,95.0,14688,"Learn Threejs, TypeScript and NodeJS to create interactive 3D content on the web.",TypeScript,900
Docker: A Project-Based Approach to Learning,4.5152426,1193,35,2023-02-01,45.0,14858,Learn how to manage Docker hosts and Docker containers through project-based training.,Docker,821
Firebase In Depth,4.535146,1191,70,2023-02-11,10.0,10877,"Full-stack Development with Firebase, Firestore, Firebase Storage & Hosting, Firebase Cloud Functions & AngularFire",Firebase,811
CUDA programming Masterclass with C++,4.3418174,1191,83,2021-11-26,11.0,13318,Learn parallel programming on GPU's with CUDA from basic concepts to advance algorithm implementations.,C++,1253
Java Programming: Step by Step from A to Z,4.3679204,1189,106,2019-09-25,9.0,20707,Everything you need to know about Java programming to make you first steps as a software engineer,Java,2046
Git and GitHub For Beginners,3.9642458,1188,10,2021-01-14,1.0,75423,Learn Git and Github From Scratch,"Git, GitHub",1569
Python 101,4.251919,1181,113,2017-12-22,17.0,24233,"Learn Regular Expressions, NumPy, Pandas, OOP and Database programming in addition to basic Python.",Python,2688
2023 Python Data Analysis & Visualization Masterclass,4.671907,1181,202,2022-12-22,205.0,23780,"Pandas, Matplotlib, Seaborn, &amp; More! Analyze Dozens of Datasets &amp; Create Stunning Visualizations",Python,862
Natural Language Processing: NLP With Transformers in Python,4.488749,1178,104,2022-08-27,115.0,28727,"Learn next-generation NLP with transformers for sentiment analysis, Q&A, similarity search, NER, and more",Python,979
Django Masterclass : Build 9 Real World Django Projects,4.4733725,1174,306,2023-01-25,345.0,15493,"Learn Django from scratch, build an E-commerce store, web based PDF generators, APIs using Python &amp; Django",Django,828
Understanding NPM - Node.js Package Manager,4.5543213,1172,41,2022-10-16,25.0,23481,"Understand and practice NPM. Learn how to use NPM in Node.js, how to install NPM packages, how to configure NPM scripts.",Node.js,929
Professional Java Developer Career Starter: Java Foundations,4.74441,1175,262,2023-01-22,88.0,13298,"Covers Java 21 & Earlier, Streams/Lambdas, Regex, TDD/Testing, Optionals, JDBC/SQL Intro to Spring & More Using IntelliJ",Java,831
.NET Core Microservices,3.4925306,1167,34,2019-10-30,4.0,5054,Build distributed system using microservices architecture,.NET Core,2011
Cucumber BDD with Python Behave and Selenium WebDriver 2023,4.377444,1167,134,2023-01-29,19.0,21669,Build Automation Framework with Cucumber BDD using Python and Behave for Selenium WebDriver and API Testing and SQL,Python,824
Oracle Analytic Functions In-Depth & Advanced Oracle SQL,4.627969,1167,85,2020-01-14,95.0,9388,"Move your skills in SQL to another level by using Oracle Analytic functions + Advanced SQL, All the scripts are attached",SQL,1935
AWS Data Architect Bootcamp - 43 Services 500 FAQs 20+ Tools,4.5052137,1165,295,2020-07-11,305.0,16804,"AWS Databases, EMR, SageMaker, IoT,  Redshift, Glue, QuickSight, RDS, Aurora, DynamoDB, Kinesis, Rekognition & much more",AWS,1756
C# Advanced Topics - The Next Logical Step,4.589035,1167,43,2020-09-24,3.0,8584,"Learn advanced topics of the C# language like LINQ, Lambda, Extension Methods, Generics, Delegates, Events and more!",C#,1681
"Complete Web Development Course: HTML, Vue.js, PHP, MySQL",4.281432,1162,613,2022-04-06,33.0,5620,"React, HTML5, CSS3, JavaScript, jQuery, VueJS, AJAX, PHP, CLI, NPM, Babel, Webpack, MySQL, OOP, Node.js and Express.js","PHP, HTML, Vue.js, MySQL, Web Development",1122
Database Management Systems Part 3 : SQL Interview Course,4.415792,1162,53,2023-02-13,10.0,7681,Learn SQL from scratch as SQL is widely used in IT / Computer Science / Software Field,SQL,809
"Vue JS 3: Composition API (with Pinia, Firebase 9 & Vite)",4.633732,1159,155,2022-06-07,9.0,10012,"Already know the Options API? Switch over to the Composition API as quickly as possible! (Oh, and Pinia & Firebase 9!)",Firebase,1060
Laravel 8 PHP Framework A - Z Build Professional Ecommerce,4.4502683,1158,628,2022-11-06,1355.0,6579,"In This Course, You Will Learn Laravel 8 Fundamentals and  Build Two Different Ecommerce with lots of Advance Features","PHP, Laravel",908
Statistics & Mathematics for Data Science & Data Analytics,4.558008,1156,91,2023-01-31,115.0,11702,Learn the statistics & probability for data science and business analysis,Data Science,822
"NGINX, Apache, SSL Encryption - Certification Course",4.2503223,1154,58,2020-09-30,35.0,191134,"Install, Configure, and Secure NGINX & Apache on an Ubuntu Server using Digital Ocean & Let's Encrypt SSL",Nginx,1675
Python for Beginners - Go from Java to Python in 100 Steps,4.3962517,1152,103,2022-09-15,8.0,7826,Learn Python Programming using Your Java Skills.  For Beginner Python Programmers.,"Python, Java, Go",960
Angular Security Masterclass (with FREE E-Book),4.5346594,1147,74,2023-02-11,8.0,13266,Practical Guide to Angular Security  - Add Authentication / Authorization (from scratch) to an Angular / Node App,Angular,811
AWS CloudFormation - Simplified | Hands On with YAML,4.573681,1147,168,2022-08-17,185.0,15708,"An awesome journey from AWS CloudFormation to Continuous Integration, Continuous Delivery & Infrastructure as Code.",AWS,989
U&P AI - Natural Language Processing (NLP) with Python,3.469092,1146,72,2020-12-24,6.0,13900,"Become an NLP Engineer by creating real projects using Python, semantic search, text mining and search engines!",Python,1590
Android Jetpack masterclass in Kotlin,4.730117,1146,72,2022-12-21,10.0,5377,"Kotlin, Room, Navigation, Data Binding, MVVM, Notifications, Permissions and a lot more",Kotlin,863
Data Warehouse Developer-SQL Server/ETL/SSIS/SSAS/SSRS/T-SQL,4.1186237,1140,83,2023-02-09,8.0,28114,Develop and Implement a Data Warehouse  Solution  Step by step,SQL,813
"Node, SQL, & PostgreSQL - Mastering Backend Web Development",4.3469706,1138,47,2022-10-14,5.0,8580,"Boost your Node, Express, SQL, PostgreSQL and Backend Development Skills! NodeJS, Databases, Express, JS, ES6, + more!","SQL, PostgreSQL, Web Development",931
Data Structures & Algorithms - Java,4.696699,1136,112,2023-02-14,85.0,60261,DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.,Java,808
